"Game Code 遊戲代碼","Simple Chinese 簡中名","English Name 英文名","Thai Name 泰文名","Vietnamese Name 越文名","Indonesian Name 印尼文名","Game Type 遊戲類型","Game Technology 遊戲引擎","Line 線數","Ways 路數","Reels 滾軸","RTP 返還率","Maximum Odds 單盤最大賠率","Hit Frequency 得獎率","Volatility 波動性","Mobile Screen Mode 手機螢幕模式","Platform 適用平台","Bonus Spin/Free Game 免費/額外遊戲","Auto Play 自動遊戲","Wild Symbol 百搭符號","Multiplier Symbol 倍數符號","Free Spin Trigger Symbol 免費遊戲符號","Scatter Symbol 分散符號","Bonus Symbol 紅利符號","Created At 上架時間"
"cmf0001","龙珠捕鱼","DRAGONBALL FISHING","ดราก้อนบอล ฟิชชิ่ง","NGỌC RỒNG BẮN CÁ","DRAGONBALL FISHING","fish","HTML5","0","0","","96%","2188","","","landscape","Desktop / Mobile","2","Y","","","","","","2019-06-03T06:48:31.000Z"
"cmf0002","中国神魔捕鱼","FISHING OF SAVIORS","ฟิชชิ่ง ออฟ เซเวียร์ส","THẦN BẮN CÁ","FISHING OF SAVIORS","fish","HTML5","0","0","","97%","3188","","","landscape","Desktop / Mobile","1","Y","","","","","","2020-04-01T10:32:23.000Z"
"cmf0003","霸王虞姬","THE TYRANT AND THE PRINCESS","ปาอ๋องหยูจี","THE TYRANT AND THE PRINCESS","THE TYRANT AND THE PRINCESS","fish","HTML5","0","0","","97%","3188","","","landscape","Desktop / Mobile","2","Y","","","","","","2020-11-03T02:41:59.000Z"
"cmf0006","中国霸王虞姬3D","THE TYRANT AND THE PRINCESS 3D","ปาอ๋องหยูจี 3D","THE TYRANT AND THE PRINCESS 3D","THE TYRANT AND THE PRINCESS 3D","fish","HTML5","0","0","","97%","3188","","","landscape","Desktop / Mobile","2","Y","","","","","","2020-12-01T06:13:04.000Z"
"cm00001","中国游","CHINA VOYAGE","ท่องเมืองจีน","HÀNH TRÌNH TRUNG HOA","CHINA VOYAGE","slot","HTML5","0","243","3x5","96%","16200","25.04%","4.5★","landscape","Desktop / Mobile","1","Y","Y","","Y","","Y","2019-04-08T09:39:11.000Z"
"cm00002","发发发","FA FA FA","รวย รวย รวย","ĐẠI PHÁT","Fa Fa Fa","slot","HTML5","1","0","3x3","96%","1000","7.01%","3★","landscape","Desktop / Mobile","1","Y","Y","","Y","","Y","2019-04-08T09:39:11.000Z"
"cm00003","一鹿发","OH MY RICH DEER","กวางรับทรัพย์","PHÁT LỘC","OH MY RICH DEER","slot","HTML5","50","0","4x5","96%","1000","32.59%","4.5★","landscape","Desktop / Mobile","1","Y","Y","","Y","","Y","2019-04-08T09:39:11.000Z"
"cm00004","亢龙锏","GREAT SWORD OF DRAGON","เหล็กท่อนแห่งมังกร","LONG CÔN","GREAT SWORD OF DRAGON","slot","HTML5","0","243","3x5","96%","1836","29.05%","4.5★","landscape","Desktop / Mobile","1","Y","Y","","","","Y","2019-04-08T09:39:11.000Z"
"cm00005","五媚娘","CHINA EMPRESS","บูเช็คเทียน","VÕ MỊ NƯƠNG","CHINA EMPRESS","slot","HTML5","0","243","3x5","96%","1050","29.19%","4★","landscape","Desktop / Mobile","1","Y","Y","","Y","","Y","2019-04-08T09:39:11.000Z"
"cm00006","万事如懿","RUYI’S ROYAL LOVE","ตำนานหยูอี้","VẠN SỰ NHƯ Ý","SILAKAN PILIH","slot","HTML5","0","243","3x5","96%","5760","19.67%","3★","landscape","Desktop / Mobile","1","Y","Y","","Y","Y","Y","2019-04-08T09:39:11.000Z"
